layer,K_eff,bit,granularity,rel_rmse,rmse,ref_rms,num_sequences,seq_len
0,4,2,per-token,0.040220139224735066,0.03595837205648422,0.8940389752388,4,2048
0,4,2,per-channel,0.09361518912138846,0.08369562774896622,0.8940389752388,4,2048
0,4,2,tile32,0.04085664441141243,0.03652743250131607,0.8940389752388,4,2048
0,4,3,per-token,0.018809602046315887,0.0168165173381567,0.8940389752388,4,2048
0,4,3,per-channel,0.016697027431256464,0.01492779329419136,0.8940389752388,4,2048
0,4,3,tile32,0.018204039588672186,0.01627512089908123,0.8940389752388,4,2048
0,4,4,per-token,0.008562120528628573,0.0076548694632947445,0.8940389752388,4,2048
0,4,4,per-channel,0.010418279569253558,0.009314347989857197,0.8940389752388,4,2048
0,4,4,tile32,0.009155537256768908,0.008185407146811485,0.8940389752388,4,2048
1,4,2,per-token,0.03670402129212086,0.03361302986741066,0.9157860279083252,4,2048
1,4,2,per-channel,0.04767878900097239,0.043663568794727325,0.9157860279083252,4,2048
1,4,2,tile32,0.038750078102889544,0.03548678010702133,0.9157860279083252,4,2048
1,4,3,per-token,0.018961449450460084,0.017364630475640297,0.9157860279083252,4,2048
1,4,3,per-channel,0.022458007877307014,0.020566729828715324,0.9157860279083252,4,2048
1,4,3,tile32,0.018994307597962643,0.017394721508026123,0.9157860279083252,4,2048
1,4,4,per-token,0.00854237698299157,0.007822989486157894,0.9157860279083252,4,2048
1,4,4,per-channel,0.009752631743363945,0.008931323885917664,0.9157860279083252,4,2048
1,4,4,tile32,0.01067728503143128,0.009778108447790146,0.9157860279083252,4,2048
2,4,2,per-token,0.04134560689350145,0.03815959393978119,0.9229419231414795,4,2048
2,4,2,per-channel,0.045030461633714644,0.04156050086021423,0.9229419231414795,4,2048
2,4,2,tile32,0.04525084478588902,0.041763901710510254,0.9229419231414795,4,2048
2,4,3,per-token,0.020769874959904896,0.019169388338923454,0.9229419231414795,4,2048
2,4,3,per-channel,0.023171944356086684,0.02138635888695717,0.9229419231414795,4,2048
2,4,3,tile32,0.022422453949745527,0.02069462276995182,0.9229419231414795,4,2048
2,4,4,per-token,0.009858492179794072,0.009098815731704235,0.9229419231414795,4,2048
2,4,4,per-channel,0.010868371738543606,0.010030875913798809,0.9229419231414795,4,2048
2,4,4,tile32,0.009914798864278184,0.009150783531367779,0.9229419231414795,4,2048
3,4,2,per-token,0.04719164254939628,0.04393335431814194,0.930956244468689,4,2048
3,4,2,per-channel,0.08215557140098893,0.07648324221372604,0.930956244468689,4,2048
3,4,2,tile32,0.06523864122802515,0.06073432043194771,0.930956244468689,4,2048
3,4,3,per-token,0.024416902241969247,0.02273106761276722,0.930956244468689,4,2048
3,4,3,per-channel,0.04441022849687019,0.04134397953748703,0.930956244468689,4,2048
3,4,3,tile32,0.03538347387711072,0.032940465956926346,0.930956244468689,4,2048
3,4,4,per-token,0.011232415203113593,0.010456887073814869,0.930956244468689,4,2048
3,4,4,per-channel,0.019429492474266938,0.01808800734579563,0.930956244468689,4,2048
3,4,4,tile32,0.01669883938826241,0.015545888803899288,0.930956244468689,4,2048
4,4,2,per-token,0.05708140051982636,0.05368451401591301,0.9404904842376709,4,2048
4,4,2,per-channel,0.09084848244585687,0.08544213324785233,0.9404904842376709,4,2048
4,4,2,tile32,0.07974230727881555,0.07499688118696213,0.9404904842376709,4,2048
4,4,3,per-token,0.02917751943235717,0.027441179379820824,0.9404904842376709,4,2048
4,4,3,per-channel,0.04724961232817827,0.04443781077861786,0.9404904842376709,4,2048
4,4,3,tile32,0.04094745456751199,0.03851069137454033,0.9404904842376709,4,2048
4,4,4,per-token,0.013664126773281205,0.012850981205701828,0.9404904842376709,4,2048
4,4,4,per-channel,0.02115072494048634,0.019892055541276932,0.9404904842376709,4,2048
4,4,4,tile32,0.018898396786759544,0.017773762345314026,0.9404904842376709,4,2048
5,4,2,per-token,0.06859116194856896,0.06517483294010162,0.9501928687095642,4,2048
5,4,2,per-channel,0.09843576779747697,0.09353296458721161,0.9501928687095642,4,2048
5,4,2,tile32,0.08796571026057087,0.08358439058065414,0.9501928687095642,4,2048
5,4,3,per-token,0.0343049903237026,0.03259635716676712,0.9501928687095642,4,2048
5,4,3,per-channel,0.04994497569277508,0.04745735973119736,0.9501928687095642,4,2048
5,4,3,tile32,0.044995501076350856,0.0427544042468071,0.9501928687095642,4,2048
5,4,4,per-token,0.016147663876505746,0.015343395061790943,0.9501928687095642,4,2048
5,4,4,per-channel,0.022278134362475253,0.021168524399399757,0.9501928687095642,4,2048
5,4,4,tile32,0.020804773344119225,0.019768547266721725,0.9501928687095642,4,2048
6,4,2,per-token,0.07955151665040518,0.07649336755275726,0.9615576267242432,4,2048
6,4,2,per-channel,0.10346430072403148,0.09948688745498657,0.9615576267242432,4,2048
6,4,2,tile32,0.09802159616807289,0.09425341337919235,0.9615576267242432,4,2048
6,4,3,per-token,0.0387396782905402,0.03725043311715126,0.9615576267242432,4,2048
6,4,3,per-channel,0.05347371896430524,0.051418062299489975,0.9615576267242432,4,2048
6,4,3,tile32,0.04828686045843483,0.04643059894442558,0.9615576267242432,4,2048
6,4,4,per-token,0.01837971710099463,0.017673157155513763,0.9615576267242432,4,2048
6,4,4,per-channel,0.024517112760368893,0.023574616760015488,0.9615576267242432,4,2048
6,4,4,tile32,0.022479840084378932,0.021615661680698395,0.9615576267242432,4,2048
7,4,2,per-token,0.08541725880637834,0.08347302675247192,0.9772384166717529,4,2048
7,4,2,per-channel,0.10197803918664018,0.0996568575501442,0.9772384166717529,4,2048
7,4,2,tile32,0.10265730231872457,0.10032065957784653,0.9772384166717529,4,2048
7,4,3,per-token,0.04201589445533274,0.041059546172618866,0.9772384166717529,4,2048
7,4,3,per-channel,0.052642031211253736,0.05144381523132324,0.9772384166717529,4,2048
7,4,3,tile32,0.05110128091269487,0.0499381348490715,0.9772384166717529,4,2048
7,4,4,per-token,0.02033809606874019,0.019875168800354004,0.9772384166717529,4,2048
7,4,4,per-channel,0.02514601519392572,0.02457365207374096,0.9772384166717529,4,2048
7,4,4,tile32,0.02457488492154403,0.0240155216306448,0.9772384166717529,4,2048
8,4,2,per-token,0.09048092761218736,0.09013423323631287,0.996168315410614,4,2048
8,4,2,per-channel,0.10644525786639185,0.10603739321231842,0.996168315410614,4,2048
8,4,2,tile32,0.1015550249682893,0.10116589814424515,0.996168315410614,4,2048
8,4,3,per-token,0.04486794162551423,0.04469602182507515,0.996168315410614,4,2048
8,4,3,per-channel,0.05291570341546389,0.05271294713020325,0.996168315410614,4,2048
8,4,3,tile32,0.05103650730079265,0.05084095150232315,0.996168315410614,4,2048
8,4,4,per-token,0.022038053573585046,0.021953610703349113,0.996168315410614,4,2048
8,4,4,per-channel,0.026044829449697545,0.025945033878087997,0.996168315410614,4,2048
8,4,4,tile32,0.02482642407244926,0.02473129704594612,0.996168315410614,4,2048
9,4,2,per-token,0.08892055147309055,0.09075135737657547,1.0205892324447632,4,2048
9,4,2,per-channel,0.10342374215984286,0.10555315762758255,1.0205892324447632,4,2048
9,4,2,tile32,0.10092936278647041,0.10300742089748383,1.0205892324447632,4,2048
9,4,3,per-token,0.04520389985281723,0.04613461345434189,1.0205892324447632,4,2048
9,4,3,per-channel,0.05323290497853584,0.054328929632902145,1.0205892324447632,4,2048
9,4,3,tile32,0.05145611329575678,0.052515555173158646,1.0205892324447632,4,2048
9,4,4,per-token,0.022271784103906973,0.02273034304380417,1.0205892324447632,4,2048
9,4,4,per-channel,0.025300996119383388,0.025821924209594727,1.0205892324447632,4,2048
9,4,4,tile32,0.02512475839012139,0.02564205788075924,1.0205892324447632,4,2048
10,4,2,per-token,0.0880719203298891,0.09216442704200745,1.0464677810668945,4,2048
10,4,2,per-channel,0.10552161764400957,0.11042497307062149,1.0464677810668945,4,2048
10,4,2,tile32,0.09777495389815326,0.10231833904981613,1.0464677810668945,4,2048
10,4,3,per-token,0.04512290269484187,0.047219663858413696,1.0464677810668945,4,2048
10,4,3,per-channel,0.054644977340941724,0.05718420818448067,1.0464677810668945,4,2048
10,4,3,tile32,0.05098002963630448,0.05334895849227905,1.0464677810668945,4,2048
10,4,4,per-token,0.02218099547489863,0.02321169711649418,1.0464677810668945,4,2048
10,4,4,per-channel,0.025922115519098968,0.027126658707857132,1.0464677810668945,4,2048
10,4,4,tile32,0.0249522179875657,0.026111692190170288,1.0464677810668945,4,2048
11,4,2,per-token,0.08966624751639665,0.09665150940418243,1.077902913093567,4,2048
11,4,2,per-channel,0.1047065160711053,0.1128634586930275,1.077902913093567,4,2048
11,4,2,tile32,0.09982524810308689,0.10760192573070526,1.077902913093567,4,2048
11,4,3,per-token,0.0456066611424682,0.04915955290198326,1.077902913093567,4,2048
11,4,3,per-channel,0.05283972869144483,0.05695609748363495,1.077902913093567,4,2048
11,4,3,tile32,0.05001149137834392,0.05390753224492073,1.077902913093567,4,2048
11,4,4,per-token,0.02252909789809021,0.024284180253744125,1.077902913093567,4,2048
11,4,4,per-channel,0.02526932334890913,0.027237877249717712,1.077902913093567,4,2048
11,4,4,tile32,0.024413416109942892,0.026315292343497276,1.077902913093567,4,2048
12,4,2,per-token,0.09006480797800893,0.10126329958438873,1.124338150024414,4,2048
12,4,2,per-channel,0.1063828680443753,0.11961031705141068,1.124338150024414,4,2048
12,4,2,tile32,0.0964761785128163,0.10847184807062149,1.124338150024414,4,2048
12,4,3,per-token,0.045805881606663164,0.05150130018591881,1.124338150024414,4,2048
12,4,3,per-channel,0.05205834207691344,0.058531180024147034,1.124338150024414,4,2048
12,4,3,tile32,0.04958612610729341,0.05575157329440117,1.124338150024414,4,2048
12,4,4,per-token,0.022383516845208996,0.025166641920804977,1.124338150024414,4,2048
12,4,4,per-channel,0.02443941601249868,0.027478167787194252,1.124338150024414,4,2048
12,4,4,tile32,0.023895606030833214,0.026866741478443146,1.124338150024414,4,2048
13,4,2,per-token,0.0891187608458209,0.10558625310659409,1.1847814321517944,4,2048
13,4,2,per-channel,0.11577996324849486,0.13717395067214966,1.1847814321517944,4,2048
13,4,2,tile32,0.10045197711113144,0.11901363730430603,1.1847814321517944,4,2048
13,4,3,per-token,0.045608493070511104,0.05403609573841095,1.1847814321517944,4,2048
13,4,3,per-channel,0.05598424315851717,0.06632909178733826,1.1847814321517944,4,2048
13,4,3,tile32,0.052475277871726636,0.06217173486948013,1.1847814321517944,4,2048
13,4,4,per-token,0.022223847712657396,0.026330402120947838,1.1847814321517944,4,2048
13,4,4,per-channel,0.026566424224674912,0.031475406140089035,1.1847814321517944,4,2048
13,4,4,tile32,0.025807054281000007,0.030575718730688095,1.1847814321517944,4,2048
14,4,2,per-token,0.09071885665261203,0.11505359411239624,1.268243432044983,4,2048
14,4,2,per-channel,0.10743370467535932,0.13625209033489227,1.268243432044983,4,2048
14,4,2,tile32,0.1023115324974376,0.1297559291124344,1.268243432044983,4,2048
14,4,3,per-token,0.046223277171245226,0.058622367680072784,1.268243432044983,4,2048
14,4,3,per-channel,0.054689912308651174,0.06936012208461761,1.268243432044983,4,2048
14,4,3,tile32,0.052936947429258766,0.06713693588972092,1.268243432044983,4,2048
14,4,4,per-token,0.022550058996314227,0.02859896421432495,1.268243432044983,4,2048
14,4,4,per-channel,0.026469322612300804,0.033569544553756714,1.268243432044983,4,2048
14,4,4,tile32,0.025513957311130757,0.03235790878534317,1.268243432044983,4,2048
15,4,2,per-token,0.09033487510584838,0.12401728332042694,1.372861623764038,4,2048
15,4,2,per-channel,0.10395385779469656,0.142714262008667,1.372861623764038,4,2048
15,4,2,tile32,0.10081817682917472,0.13840940594673157,1.372861623764038,4,2048
15,4,3,per-token,0.04612026368831757,0.06331674009561539,1.372861623764038,4,2048
15,4,3,per-channel,0.05424294775150572,0.07446806132793427,1.372861623764038,4,2048
15,4,3,tile32,0.05149329786097771,0.07069317251443863,1.372861623764038,4,2048
15,4,4,per-token,0.022680499254177366,0.031137187033891678,1.372861623764038,4,2048
